X12 4010 820                                                                                                                    ,7f000001f70d649100013863
X12 4010 850                                                                                                                    ,7f000001f70d649100013892
X12 4010 864                                                                                                                    ,7f000001f70d649100013906
UNEDIFACT Group                                                                                                                 ,7f000001f70d64910000017f
gdsnItemRegistryResponse                                                                                                        ,57sqbv008gjdq5aq0000ep1q
itemSyncResponse                                                                                                                ,57sqbv008gje6jli0000epsh
X12 5010 997                                                                                                                    ,WMX12-5010--997---------
X12 4060 754                                                                                                                    ,WMX12-4060--754---------
X12 5010 816                                                                                                                    ,WMX12-5010--816---------
X12 5010 855                                                                                                                    ,WMX12-5010--855---------
X12 4060 860                                                                                                                    ,WMX12-4060--860---------
X12 5010 846                                                                                                                    ,WMX12-5010--846---------
X12 5010 870                                                                                                                    ,WMX12-5010--870---------
ItemRegistryResponse                                                                                                            ,57sqbv007mp52ib400004b29
X12 5010 820                                                                                                                    ,WMX12-5010--820---------
X12 5010 824                                                                                                                    ,WMX12-5010--824---------
X12 5010 850                                                                                                                    ,WMX12-5010--850---------
X12 5010 865                                                                                                                    ,WMX12-5010--865---------
Flat File 865                                                                                                                   ,57sqc5009hoojehb0000008d
X12 5010 852                                                                                                                    ,WMX12-5010--852---------
X12 3040 812                                                                                                                    ,WMX12-3040--812---------
X12 5010 860                                                                                                                    ,WMX12-5010--860---------
X12 4010 812                                                                                                                    ,7f000001f70d649100013856
AffinaPO                                                                                                                        ,0ag6ao0v62s89i7u000001b1
Flat File 832                                                                                                                   ,57sqc5008eqvtbch00000040
X12 5010 810                                                                                                                    ,WMX12-5010--810---------
X12 4060 855                                                                                                                    ,WMX12-4060--855---------
X12 4040 810                                                                                                                    ,WMX12-4040--810---------
X12 5010 864                                                                                                                    ,WMX12-5010--864---------
X12 4040 820                                                                                                                    ,WMX12-4040--820---------
X12 4040 824                                                                                                                    ,WMX12-4040--824---------
X12 4040 850                                                                                                                    ,WMX12-4040--850---------
X12 4040 855                                                                                                                    ,WMX12-4040--855---------
X12 5010 812                                                                                                                    ,WMX12-5010--812---------
X12 4040 856                                                                                                                    ,WMX12-4040--856---------
X12 4040 860                                                                                                                    ,WMX12-4040--860---------
X12 4040 864                                                                                                                    ,WMX12-4040--864---------
X12 4040 870                                                                                                                    ,WMX12-4040--870---------
X12 4040 812                                                                                                                    ,WMX12-4040--812---------
X12 5010 211                                                                                                                    ,WMX12-5010--211---------
X12 4040 997                                                                                                                    ,WMX12-4040--997---------
Flat File 820                                                                                                                   ,57sqc5006nk8u5bn000085nc
